age,job,marital,education,balance,housing,loan,contact,campaign,pdays,previous,poutcome,purchase
45,admin.,married,secondary,6168,yes,no,cellular,10,-1,4,unknown,no
40,student,single,primary,7501,yes,no,telephone,7,-1,3,unknown,no
54,blue-collar,single,secondary,9421,yes,no,telephone,9,-1,0,unknown,no
49,management,single,secondary,1691,yes,no,cellular,9,4,2,unknown,no
50,student,married,tertiary,8359,yes,yes,cellular,10,-1,2,unknown,no
18,self-employed,married,secondary,9304,no,no,telephone,10,-1,0,success,yes
36,retired,married,primary,7086,no,no,cellular,5,-1,2,success,no
19,retired,single,tertiary,8372,yes,no,cellular,7,-1,2,unknown,no
70,retired,single,tertiary,8664,no,yes,cellular,3,-1,2,other,yes
61,admin.,married,primary,2346,no,no,cellular,6,-1,1,unknown,no
43,admin.,married,secondary,9824,no,no,cellular,8,27,1,failure,no
49,entrepreneur,divorced,secondary,1963,yes,no,telephone,8,20,3,unknown,no
23,entrepreneur,single,secondary,6337,yes,no,unknown,2,20,4,failure,no
49,blue-collar,divorced,secondary,4422,no,no,cellular,6,-1,0,unknown,no
21,self-employed,single,tertiary,3892,no,no,cellular,7,-1,4,unknown,no
28,management,married,primary,2683,no,yes,telephone,7,-1,4,failure,no
34,technician,married,secondary,2667,no,no,cellular,3,12,1,unknown,no
55,technician,single,secondary,2497,yes,yes,cellular,9,-1,3,unknown,no
41,student,married,primary,6021,yes,no,cellular,2,-1,4,unknown,yes
22,retired,married,secondary,2727,yes,no,cellular,3,-1,4,failure,no
69,management,single,secondary,6064,yes,no,telephone,2,-1,2,failure,yes
51,housemaid,married,secondary,9844,no,no,telephone,9,30,0,success,no
23,admin.,single,primary,9420,yes,yes,cellular,4,10,3,success,no
39,unemployed,married,tertiary,1524,yes,no,cellular,2,17,0,failure,no
28,services,divorced,tertiary,-171,no,yes,cellular,3,-1,1,success,no
65,blue-collar,married,tertiary,1986,yes,no,cellular,4,19,4,unknown,no
33,retired,married,secondary,655,no,no,unknown,10,-1,4,unknown,no
50,retired,single,secondary,9582,no,no,telephone,6,26,5,unknown,no
26,self-employed,married,tertiary,3977,no,no,cellular,5,-1,0,unknown,no
23,retired,single,secondary,1685,yes,no,telephone,3,-1,1,unknown,no
33,admin.,single,tertiary,6586,yes,yes,telephone,10,4,5,unknown,no
46,admin.,married,primary,1817,yes,yes,telephone,8,-1,5,failure,no
20,services,married,tertiary,3121,yes,yes,cellular,8,20,2,failure,no
37,housemaid,married,tertiary,3991,yes,no,cellular,7,29,5,unknown,no
53,management,married,tertiary,2011,no,no,telephone,3,-1,5,unknown,yes
36,retired,divorced,tertiary,7342,yes,no,cellular,1,-1,2,unknown,no
43,technician,single,secondary,8141,no,no,unknown,5,-1,4,unknown,no
20,entrepreneur,single,secondary,9046,yes,no,telephone,1,18,4,failure,no
36,self-employed,single,secondary,7348,no,no,unknown,6,-1,3,unknown,yes
37,self-employed,married,tertiary,4904,no,no,cellular,7,-1,5,unknown,no
49,technician,divorced,secondary,4893,yes,no,unknown,5,-1,0,unknown,no
24,student,single,tertiary,793,yes,yes,cellular,4,-1,4,unknown,no
69,technician,single,secondary,1965,no,no,unknown,2,12,1,unknown,no
58,student,single,tertiary,9541,no,no,cellular,5,-1,0,failure,no
50,unemployed,married,secondary,2675,no,no,cellular,9,-1,3,failure,no
57,entrepreneur,single,tertiary,7349,yes,no,telephone,4,13,5,other,no
56,self-employed,married,tertiary,8925,yes,no,cellular,2,-1,2,unknown,no
35,technician,married,secondary,9129,no,no,cellular,6,-1,3,failure,no
57,unemployed,married,secondary,7944,no,no,unknown,8,-1,0,failure,no
18,blue-collar,divorced,tertiary,7710,yes,no,cellular,2,-1,2,other,no
28,management,single,secondary,2259,no,no,cellular,9,-1,1,unknown,no
45,unemployed,single,secondary,4755,yes,no,cellular,7,30,2,unknown,no
42,management,single,primary,7914,yes,no,telephone,2,16,2,unknown,no
67,technician,married,tertiary,-498,yes,no,cellular,5,21,1,other,no
40,housemaid,divorced,primary,7630,yes,no,cellular,5,25,4,failure,no
48,unemployed,married,secondary,759,yes,no,cellular,7,-1,4,failure,no
47,entrepreneur,married,secondary,7690,yes,no,cellular,5,-1,2,unknown,no
59,technician,married,primary,3823,yes,no,cellular,6,-1,2,unknown,no
52,retired,single,tertiary,5273,no,yes,cellular,9,16,3,unknown,no
24,admin.,single,tertiary,2068,no,no,cellular,3,3,4,other,no
33,unemployed,married,secondary,1385,no,yes,cellular,3,-1,1,unknown,no
43,entrepreneur,married,secondary,6560,no,no,cellular,8,-1,5,unknown,no
65,blue-collar,single,secondary,7344,yes,no,telephone,10,-1,5,success,yes
69,retired,married,secondary,5611,no,no,cellular,6,-1,2,other,yes
66,blue-collar,single,secondary,8991,no,yes,cellular,10,21,2,unknown,no
19,technician,divorced,secondary,1838,yes,no,cellular,3,-1,5,unknown,no
18,admin.,married,primary,8768,yes,no,cellular,2,23,3,unknown,no
65,unemployed,married,secondary,3258,yes,no,telephone,2,-1,3,unknown,no
29,unemployed,single,tertiary,4310,no,yes,telephone,2,9,3,success,yes
22,housemaid,single,tertiary,8639,yes,no,cellular,5,25,0,unknown,no
54,self-employed,married,tertiary,6291,no,no,cellular,5,23,1,other,yes
49,housemaid,divorced,secondary,6671,no,yes,cellular,1,-1,0,unknown,no
26,technician,married,tertiary,2231,no,no,cellular,2,-1,2,unknown,no
58,technician,married,tertiary,369,no,no,unknown,2,-1,3,unknown,no
52,admin.,single,tertiary,4666,no,no,cellular,4,-1,3,unknown,yes
36,housemaid,single,tertiary,-407,yes,no,cellular,7,-1,5,unknown,no
65,entrepreneur,married,primary,2487,yes,no,cellular,3,26,5,unknown,no
33,entrepreneur,single,tertiary,9467,no,no,cellular,5,-1,3,failure,yes
20,admin.,married,secondary,9952,yes,no,telephone,9,-1,4,other,no
37,self-employed,married,tertiary,8127,yes,no,cellular,5,-1,5,unknown,no
41,entrepreneur,married,secondary,4447,yes,no,unknown,9,21,1,unknown,no
50,student,single,primary,6151,no,no,cellular,1,27,0,other,no
41,management,married,secondary,6479,yes,no,cellular,9,-1,1,success,no
69,admin.,married,secondary,6294,no,no,cellular,5,-1,5,other,yes
28,admin.,married,tertiary,6024,yes,no,telephone,8,12,3,unknown,no
66,services,single,tertiary,2644,yes,no,cellular,5,5,2,unknown,no
25,retired,single,secondary,3087,no,no,cellular,6,-1,4,unknown,no
53,retired,single,secondary,-424,yes,yes,telephone,8,21,5,unknown,no
55,student,married,tertiary,8507,no,no,cellular,2,28,1,unknown,no
57,housemaid,single,secondary,8459,no,no,unknown,3,-1,2,failure,yes
37,technician,married,tertiary,6053,no,no,cellular,9,-1,5,unknown,no
52,technician,single,secondary,7797,yes,yes,telephone,5,-1,3,unknown,no
65,blue-collar,divorced,tertiary,6194,no,no,cellular,5,-1,3,unknown,no
42,student,married,tertiary,2373,no,yes,telephone,9,-1,3,failure,no
52,admin.,single,secondary,2846,no,no,unknown,10,-1,3,failure,no
42,student,married,secondary,6524,yes,yes,cellular,3,-1,5,failure,no
46,student,married,secondary,2648,yes,no,telephone,4,-1,4,unknown,no
35,student,married,tertiary,9157,no,no,telephone,7,-1,4,failure,no
63,retired,married,tertiary,-256,no,no,cellular,2,-1,1,unknown,no
35,student,married,tertiary,2125,yes,no,cellular,8,-1,5,unknown,no
19,self-employed,single,secondary,3349,yes,no,cellular,5,-1,3,other,no
52,management,married,secondary,9097,yes,no,unknown,1,-1,4,unknown,no
33,technician,single,secondary,8673,yes,no,telephone,3,-1,5,unknown,no
58,blue-collar,married,secondary,7237,yes,no,cellular,9,16,2,unknown,no
53,management,married,tertiary,7833,yes,no,cellular,5,-1,4,failure,yes
50,blue-collar,single,tertiary,392,no,no,cellular,8,29,4,other,no
21,services,married,tertiary,4987,yes,no,cellular,1,-1,1,unknown,no
50,blue-collar,married,secondary,6751,no,no,cellular,7,-1,4,failure,yes
31,technician,single,primary,6810,yes,no,cellular,7,-1,2,unknown,no
38,technician,married,tertiary,1899,yes,yes,cellular,8,1,3,unknown,no
65,student,married,primary,4140,yes,no,cellular,3,18,0,unknown,yes
37,unemployed,married,tertiary,2460,yes,no,telephone,1,26,1,other,no
25,services,divorced,secondary,9891,no,no,unknown,9,30,2,other,no
24,self-employed,single,secondary,6825,no,no,telephone,1,-1,1,unknown,yes
20,admin.,single,tertiary,969,yes,no,telephone,6,-1,5,unknown,no
34,entrepreneur,single,secondary,2874,yes,no,cellular,9,-1,3,unknown,no
50,blue-collar,married,secondary,8347,yes,no,cellular,2,-1,4,other,yes
65,unemployed,married,tertiary,7734,no,yes,cellular,4,-1,5,unknown,no
29,student,single,tertiary,7423,no,no,telephone,2,18,4,other,no
68,retired,married,tertiary,4622,yes,no,unknown,4,23,2,failure,no
39,admin.,married,secondary,9352,no,yes,telephone,2,-1,3,other,yes
39,housemaid,married,secondary,4887,no,no,unknown,1,-1,0,other,no
63,unemployed,married,tertiary,7131,yes,no,cellular,3,-1,0,failure,yes
47,retired,divorced,primary,6726,yes,no,cellular,8,3,4,failure,no
55,services,married,tertiary,4608,no,no,cellular,5,-1,5,success,no
55,student,married,primary,1724,no,no,cellular,4,23,3,unknown,yes
62,admin.,married,tertiary,1610,yes,no,cellular,5,2,3,unknown,yes
68,admin.,divorced,tertiary,457,yes,no,telephone,6,-1,2,failure,no
25,admin.,married,secondary,6646,yes,no,cellular,6,-1,5,unknown,no
44,services,married,tertiary,60,yes,yes,cellular,5,-1,0,other,yes
44,blue-collar,single,tertiary,9022,no,no,cellular,6,25,2,success,no
51,housemaid,single,tertiary,6913,yes,no,cellular,9,-1,1,failure,yes
38,self-employed,married,secondary,812,no,no,cellular,5,30,3,unknown,no
47,services,married,tertiary,1321,no,no,cellular,6,-1,0,failure,yes
50,entrepreneur,married,secondary,5146,yes,no,cellular,4,6,2,success,no
45,housemaid,married,secondary,4445,yes,no,telephone,3,-1,4,unknown,no
64,technician,married,secondary,4874,yes,no,cellular,6,-1,1,unknown,yes
50,student,married,tertiary,2151,no,no,cellular,5,10,2,unknown,no
22,services,married,secondary,9506,yes,no,unknown,4,12,4,unknown,no
65,retired,married,secondary,9433,no,no,unknown,5,11,0,unknown,no
36,housemaid,single,secondary,4201,no,no,unknown,7,-1,0,success,no
21,entrepreneur,divorced,tertiary,2377,yes,no,cellular,1,28,1,success,no
52,technician,single,secondary,5082,no,no,cellular,1,30,4,unknown,no
66,blue-collar,married,secondary,4890,no,yes,cellular,1,-1,3,unknown,no
34,retired,married,tertiary,3583,yes,no,cellular,2,25,0,unknown,no
61,housemaid,divorced,secondary,245,yes,no,unknown,9,-1,5,success,no
45,student,married,primary,8249,no,no,cellular,5,4,3,success,yes
47,retired,married,primary,441,no,no,cellular,9,-1,3,failure,no
46,technician,married,secondary,3523,yes,no,cellular,5,28,2,other,no
63,retired,single,secondary,1796,yes,yes,cellular,7,-1,2,failure,no
